140	0.2728	-151.055
140	0.4752	-150.4676
140	1.078	-148.7142
140	2.057	-145.808
140	3.3836	-141.7776
140	5.0116	-136.6582
140	6.886	-130.5004
140	8.9496	-123.3592
140	11.1364	-115.3094
140	13.3804	-106.428
140	15.6134	-96.8052
140	17.7738	-86.5444
140	19.7956	-75.7534
140	21.6194	-64.5466
140	23.1946	-53.0494
140	24.4728	-41.3872
140	25.4188	-29.6986
140	25.9974	-18.0914
140	26.0502	-6.4732
140	25.4826	4.7622
140	24.332	15.4608
140	22.6644	25.484
140	20.5568	34.6976
140	18.1082	42.985
140	15.4264	50.2472
140	12.6192	56.4028
140	9.7944	61.388
140	7.0488	65.161
140	4.4638	67.691
140	2.101	68.9692
140	0	69
140	-1.7424	67.8252
140	-3.0426	65.502
140	-3.9182	62.0722
140	-4.3978	57.5908
140	-4.5188	52.1216
140	-4.3274	45.7372
140	-3.8786	38.5058
140	-3.234	30.511
140	-2.4662	21.8298
140	-1.6456	12.5392
140	-0.8448	2.7206
140	-0.1408	-7.5424
140	0.4004	-18.1684
140	0.814	-29.307
140	1.1924	-40.6128
140	1.5048	-51.9472
140	1.7292	-63.1936
140	1.8546	-74.231
140	1.8766	-84.9384
140	1.8018	-95.1948
140	1.6434	-104.8858
140	1.4146	-113.9014
140	1.144	-122.1316
140	0.8492	-129.484
140	0.5544	-135.8662
140	0.2838	-141.2012
140	0.0528	-145.423
140	-0.1254	-148.4788
140	-0.2354	-150.3268
140	-0.2728	-150.945
140	0	-151
